epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,118.332,1.5265,3.28879,0.40458,1.15879,0.98343,0.63105,0.28073,0.25687,0.15151,0.62566,0.28268,0.25487,0.1188,1.3936,2.8659,0.37234,1.06344,0.98252,0.0008713,0.0008713,0.0008713
28,122.595,1.55885,3.16225,0.39832,1.17442,1.01217,0.64525,0.28389,0.25968,0.15405,0.6386,0.28,0.25639,0.11714,1.40562,2.84352,0.3555,1.05529,0.99162,0.00086635,0.00086635,0.00086635
29,126.873,1.67224,3.15102,0.37744,1.18304,1.03298,0.74658,0.27821,0.26441,0.15079,0.74707,0.27576,0.2634,0.12276,1.52065,2.7847,0.3374,1.07279,1.0241,0.0008614,0.0008614,0.0008614
30,130.812,1.56354,3.09814,0.37485,1.13669,0.99472,0.79262,0.27955,0.26825,0.15708,0.79493,0.27844,0.2687,0.12727,1.42699,2.70677,0.33318,1.04116,0.99067,0.00085645,0.00085645,0.00085645
31,134.729,1.53766,2.9717,0.36813,1.10272,1.00273,0.80577,0.27903,0.27601,0.16001,0.80527,0.27867,0.27873,0.13413,1.4208,2.65799,0.32387,1.02827,0.98741,0.0008515,0.0008515,0.0008515
32,138.581,1.52658,3.02172,0.35138,1.16111,1.00612,0.8104,0.2846,0.28217,0.16618,0.81495,0.28343,0.28343,0.13963,1.3937,2.54039,0.31343,1.02327,0.98962,0.00084655,0.00084655,0.00084655
33,142.36,1.49729,2.85515,0.34225,1.12764,1.02777,0.79384,0.28984,0.27668,0.16317,0.79471,0.28766,0.28805,0.1408,1.40338,2.48014,0.29954,1.02701,0.986,0.0008416,0.0008416,0.0008416
34,146.107,1.50142,2.79389,0.33344,1.10353,1.00456,0.80883,0.28866,0.28466,0.16841,0.80806,0.28582,0.29796,0.14527,1.36686,2.42596,0.28154,0.99942,0.98056,0.00083665,0.00083665,0.00083665
35,150.13,1.51577,2.70171,0.3294,1.10395,0.98615,0.81585,0.28812,0.29197,0.16922,0.81613,0.28588,0.30191,0.15331,1.39403,2.35473,0.28032,1.01665,0.98694,0.0008317,0.0008317,0.0008317
36,154.136,1.49142,2.65937,0.31614,1.09107,0.9915,0.81742,0.28955,0.29692,0.17721,0.81713,0.28759,0.30825,0.16122,1.33526,2.26578,0.26952,1.00339,0.9651,0.00082675,0.00082675,0.00082675
37,157.908,1.44947,2.53975,0.30431,1.07952,0.9895,0.74035,0.29328,0.30782,0.17762,0.74422,0.29105,0.32739,0.17013,1.37787,2.20937,0.25087,0.99988,0.97353,0.0008218,0.0008218,0.0008218
38,162.1,1.43508,2.45056,0.29543,1.07405,0.98131,0.72385,0.28807,0.31625,0.18438,0.72425,0.28747,0.34729,0.18599,1.36452,2.10489,0.24591,1.00116,0.97342,0.00081685,0.00081685,0.00081685
39,166.086,1.47866,2.44726,0.29166,1.10602,1.01534,0.70931,0.29393,0.32183,0.18802,0.70869,0.29372,0.35248,0.18976,1.33894,2.04187,0.2367,0.98751,0.97257,0.0008119,0.0008119,0.0008119
40,169.911,1.47662,2.29049,0.28005,1.08145,0.99444,0.82397,0.29957,0.33367,0.18928,0.82351,0.30148,0.35687,0.18826,1.36164,2.0293,0.22707,0.9886,0.97637,0.00080695,0.00080695,0.00080695
41,173.884,1.40173,2.27147,0.28607,1.0654,0.98639,0.50675,0.34697,0.3372,0.1895,0.50717,0.35303,0.3561,0.18588,1.38334,1.93909,0.21552,0.96603,0.98617,0.000802,0.000802,0.000802
42,177.924,1.43772,2.26529,0.27721,1.03975,0.97895,0.32214,0.37317,0.34348,0.19978,0.29543,0.3742,0.35523,0.19381,1.31308,1.87217,0.21009,0.95742,0.96058,0.00079705,0.00079705,0.00079705
43,181.778,1.46286,2.25516,0.27582,1.06152,0.96611,0.32926,0.39971,0.34629,0.19774,0.40451,0.40346,0.36052,0.19438,1.3003,1.84652,0.20354,0.95272,0.95572,0.0007921,0.0007921,0.0007921
44,185.598,1.43564,2.19724,0.25782,1.04835,0.973,0.30379,0.4093,0.35141,0.20392,0.41034,0.42203,0.36472,0.20164,1.29969,1.79563,0.20258,0.94184,0.95318,0.00078715,0.00078715,0.00078715
45,189.495,1.36568,2.07692,0.26793,1.00348,0.95874,0.34775,0.38799,0.37756,0.21439,0.43225,0.41396,0.4047,0.22003,1.30136,1.7283,0.19808,0.93694,0.95878,0.0007822,0.0007822,0.0007822
46,193.45,1.37125,2.03025,0.25485,1.01617,0.98531,0.40522,0.41427,0.3966,0.22148,0.45742,0.42505,0.40877,0.23315,1.30526,1.68359,0.19711,0.93974,0.95338,0.00077725,0.00077725,0.00077725
47,197.377,1.40216,1.96722,0.2577,1.01081,0.98553,0.4203,0.43301,0.40571,0.222,0.44281,0.42972,0.40775,0.23677,1.2872,1.65657,0.19598,0.93718,0.95223,0.0007723,0.0007723,0.0007723
48,201.187,1.432,1.94524,0.27063,1.01839,0.9761,0.43963,0.46026,0.4097,0.21982,0.45408,0.45919,0.41771,0.24454,1.33989,1.61526,0.19311,0.93018,0.96621,0.00076735,0.00076735,0.00076735
